pi+,,,,,p,,,
pt,values,,,,pt,values,,
0.35,3.14,0.0365,0.251,,,,,
0.45,1.82,0.0245,0.145,,0.468,0.188,0.0187,0.0244
0.55,1.08,0.0173,0.0867,,0.563,0.135,0.0111,0.0175
0.65,0.618,0.0122,0.0494,,0.661,0.107,0.00889,0.0139
0.75,0.413,0.00915,0.0331,,0.759,0.0802,0.00678,0.0104
0.85,0.266,0.00698,0.0213,,0.858,0.0582,0.0052,0.00757
0.95,0.17,0.00536,0.0136,,0.957,0.0445,0.00485,0.00578
1.05,0.114,0.00407,0.00909,,1.06,0.0363,0.00411,0.0029
1.15,0.077,0.00327,0.00616,,1.16,0.0282,0.00211,0.00226
1.3,0.0443,0.00166,0.00355,,1.31,0.0186,0.00114,0.00149
1.5,0.021,0.00107,0.00168,,1.5,0.0102,0.000785,0.000814
1.7,0.0105,0.000719,0.00084,,1.7,0.00564,0.000324,0.000451
1.9,0.00586,0.00055,0.000703,,1.9,0.00314,0.000233,0.000251
2.25,0.00277,0.00029,0.000471,,2.25,0.00139,0.0000947,0.000112
2.75,0.000606,0.00000261,0.0000789,,2.75,0.000268,0.00000191,0.0000359
3.25,0.000191,0.00000142,0.0000249,,3.25,0.0000991,0.000001,0.0000138
3.75,0.0000635,0.000000734,0.00000826,,3.75,0.0000312,0.000000524,0.00000449
4.25,0.0000229,0.000000422,0.00000298,,4.25,0.000012,0.000000303,0.0000018
4.75,0.00000967,0.000000264,0.00000126,,4.75,0.00000429,0.000000178,0.000000661
5.5,0.00000288,9.52E-08,0.000000375,,5.5,0.00000136,0.00000021,0.00000022
6.5,0.000000866,3.91E-08,0.000000112,,6.5,0.000000261,5.72E-08,4.51E-08
7.5,0.00000022,1.82E-08,2.86E-08,,7.5,9.54E-08,1.41E-08,1.74E-08
8.5,9.55E-08,1.15E-08,1.24E-08,,8.5,3.52E-08,0.000000008,6.84E-09
9.5,4.13E-08,6.44E-09,5.38E-09,,9.5,1.23E-08,4.55E-09,-2.51
,,,,,,,,
,,,,,,,,
pi-,values,,,,pbar,values,,
0.45,1.82,0.0246,0.145,,0.563,0.108,0.00587,0.014
0.55,1.08,0.0172,0.086,,0.661,0.0886,0.00469,0.0115
0.65,0.67,0.013,0.0536,,0.759,0.064,0.00347,0.00832
0.75,0.405,0.00906,0.0324,,0.858,0.0551,0.00304,0.00716
0.85,0.259,0.00689,0.0207,,0.957,0.038,0.0023,0.00494
0.95,0.168,0.00538,0.0134,,1.06,0.0327,0.00141,0.00262
1.05,0.116,0.00423,0.00929,,1.16,0.0236,0.00112,0.00189
1.15,0.0763,0.00328,0.00611,,1.31,0.0155,0.000616,0.00124
1.3,0.0436,0.00166,0.00349,,1.5,0.008,0.000404,0.00064
1.5,0.0204,0.00107,0.00163,,1.7,0.00478,0.000297,0.000382
1.7,0.0103,0.000723,0.000826,,1.9,0.00256,0.000204,0.000205
1.9,0.00516,0.0005,0.000619,,2.25,0.00106,0.0000797,0.0000849
2.25,0.00242,0.000221,0.000411,,2.75,0.000202,0.00000163,0.000027
2.75,0.000618,0.00000261,0.0000803,,3.25,0.0000703,0.000000876,0.00000977
3.25,0.00019,0.00000142,0.0000247,,3.75,0.0000204,0.000000451,0.00000293
3.75,0.0000649,0.000000734,0.00000843,,4.25,0.00000861,0.000000262,0.00000128
4.25,0.0000229,0.000000421,0.00000298,,4.75,0.00000303,0.000000155,0.000000467
4.75,0.00000948,0.000000267,0.00000123,,5.5,0.000000867,5.11E-08,0.00000014
5.5,0.00000314,9.55E-08,0.000000409,,6.5,0.000000144,0.00000002,2.49E-08
6.5,0.000000847,3.91E-08,0.00000011,,7.5,4.06E-08,9.58E-09,7.43E-09
7.5,0.000000239,0.000000018,3.11E-08,,8.5,1.31E-08,0.000000005,2.54E-09
8.5,8.01E-08,1.15E-08,1.04E-08,,9.5,8.62E-09,3.5E-09,1.76E-09
9.5,3.86E-08,6.42E-09,5.02E-09,,,,,
